day,revenue_usd,cost_usd,penalty_usd,nutrient,pher_awareness_interest,pher_interest_discovery,pher_discovery_starter,pher_starter_professional,pher_professional_enterprise
26,17500.0,2150.9999999999995,10000.0,5348.999999999996,10.0,5.059025347882601,3.1516120950005937,1.1681632479971267,0.2587822178202998
27,3000.0,350.99999999999983,0.0,2649.0000000000005,10.0,5.054429443791425,3.135149200356476,1.1331183505572129,0.2510187512856908
28,3500.0,350.99999999999943,0.0,3149.0000000000005,10.0,5.179140247448779,3.1408727816677318,1.0991248000404965,0.24348818874712005
29,7000.0,700.9999999999991,0.0,6298.99999999998,10.0,5.408920221305896,3.1857123261118994,1.0661510560392815,0.23618354308470646
30,11500.0,1250.9999999999993,0.0,10248.999999999985,10.0,5.54904827385273,3.2296881483053825,1.1123627662537519,0.22909803679216525
31,16000.0,1950.999999999999,0.0,14048.999999999996,10.0,5.718598808616259,3.3704403243681886,1.1498511389681685,0.2222250956884003
32,6000.0,700.9999999999993,0.0,5298.999999999989,10.0,5.810881256012935,3.4093109582591423,1.1153556047991233,0.21555834281774827
33,19000.0,2150.9999999999995,0.0,16848.999999999985,10.0,5.992395814139786,3.5106146277818686,1.2281168005752714,0.20909159253321583
34,31000.0,3200.999999999999,0.0,27798.99999999998,10.0,6.078948972880072,3.584818771762959,1.2726909437300855,0.28423649192929157
35,8000.0,900.9999999999993,0.0,7098.999999999985,10.0,6.096379927630444,3.5952065337474535,1.352442540555566,0.2757093971714128
36,13000.0,1600.999999999999,0.0,11398.99999999998,10.0,6.128577265296396,3.65668478409464,1.3777798655677396,0.2674381152562704
37,7500.0,1050.999999999999,2500.0,3948.999999999993,10.0,6.171696938620884,3.77396123185518,1.3364464696007075,0.2594149717985823
38,9000.0,1050.999999999999,0.0,7949.0,10.0,6.3728877112965066,3.8657208252138533,1.2963530755126862,0.2516325226446248
39,8000.0,900.9999999999999,0.0,7098.999999999996,10.0,6.3468812772431376,3.8472474031484434,1.354960685938311,0.24408354696528606
40,6000.0,700.9999999999995,0.0,5298.999999999999,10.0,6.48552474102346,3.9064115387088845,1.3143118653601615,0.23676104055632746
41,23000.0,2850.999999999999,2500.0,17648.999999999993,10.0,6.606160655497036,4.0598600291817135,1.4032652467376578,0.22965820933963763
42,2000.0,1.0000000000000004,0.0,1999.0000000000007,10.0,6.731247455874893,3.938064228306262,1.361167289335528,0.2227684630594485
43,13500.0,1600.999999999999,0.0,11898.999999999984,10.0,6.8056642564341345,3.9993263304757294,1.3901622885266303,0.21608540916766503
44,0.0,1.0000000000000004,0.0,-1.0000000000000004,10.0,6.6014943287411105,3.8793465405614573,1.3484574198708312,0.20960284689263506
45,8000.0,900.9999999999994,0.0,7098.999999999986,10.0,6.539222892801333,3.843106876092349,1.3881444290224414,0.203314761485856
46,28000.0,3550.999999999999,0.0,24448.99999999998,10.0,6.699808086966998,4.04714818917342,1.4543308569899975,0.1972153186412803
47,18000.0,2300.999999999999,0.0,15698.999999999982,10.0,6.769298087789808,4.157362961937928,1.4666729091296538,0.1912988590820419
48,7500.0,700.9999999999998,0.0,6798.9999999999945,10.0,6.964537750675914,4.156652385417157,1.4226727218557642,0.18555989330958061
49,5500.0,700.9999999999998,0.0,4799.0,10.0,7.071097282070926,4.250683091215643,1.3799925402000912,0.1799930965102932
50,21000.0,2500.9999999999995,0.0,18498.999999999985,10.0,7.194710431340922,4.364881720871929,1.4740417594032176,0.17459330361498437
51,19500.0,2150.9999999999995,0.0,17348.99999999999,10.0,7.3716419805466185,4.430598140452138,1.5710720444998838,0.16935550450653483
52,20500.0,2150.9999999999995,0.0,18348.999999999985,10.0,7.551209425608428,4.458237704171914,1.6392590319927711,0.16427483937133877
53,8000.0,1050.9999999999993,0.0,6948.999999999984,10.0,7.591827775363942,4.530798638582027,1.590081261032988,0.15934659419019861
54,15500.0,1800.9999999999995,0.0,13698.999999999989,10.0,7.5799710333971975,4.555144239978317,1.7026483837557491,0.15456619636449265
55,28500.0,3400.9999999999995,0.0,25098.99999999999,10.0,7.694322726718817,4.680597291381565,1.8236625487306777,0.14992921047355787
56,20000.0,2150.9999999999995,0.0,17848.999999999993,10.0,7.80730167099542,4.693222234733506,1.8788744866887974,0.14543133415935114
57,24500.0,2700.999999999999,0.0,21798.99999999998,10.0,7.921299327461975,4.733262614305999,2.003345298702632,0.1410683941345706
58,24500.0,2850.999999999999,0.0,21648.999999999978,10.0,8.04897194182183,4.8143168195441595,2.045709758295908,0.13683634231053346
59,13500.0,1600.9999999999993,7500.0,4398.999999999991,10.0,8.095517003077386,4.84602036531234,2.034022379323287,0.13273125204121744
60,2000.0,1.0000000000000004,0.0,1999.0000000000005,10.0,8.145616125617417,4.700639754352969,1.9730017079435886,0.12874931447998092
